species_id,common_name,scientific_name
26847,Buff-throated Apalis,Apalis rufogularis
1089,Buff-throated Partridge,Tetraophasis szechenyii
18548,Buff-throated Purpletuft,Iodopleura pipra
36925,Buff-throated Saltator,Saltator maximus
32402,Buff-throated Sunbird,Chalcomitra adelberti
17401,Buff-throated Tody-tyrant,Hemitriccus rufigularis
25712,Buff-throated Warbler,Phylloscopus subaffinis
14746,Buff-throated Woodcreeper,Xiphorhynchus guttatus
24741,Buff-vented Bulbul,Iole crypta
15030,Buff-winged Cinclodes,Cinclodes fuscus
3135,Buff-winged Starfrontlet,Coeligena lutetiae
525,Bufflehead,Bucephala albeola
9557,Buffy Fish-owl,Ketupa ketupu
2996,Buffy Helmetcrest,Oxypogon stuebelii
3519,Buffy Hummingbird,Leucippus fallax
28773,Buffy Laughingthrush,Pterorhinus berthemyi
34043,Buffy Pipit,Anthus vaalensis
15276,Buffy Tit-spinetail,
14942,Buffy Tuftedcheek,Pseudocolaptes lawrencii
820,Buffy-crowned Wood-partridge,Dendrortyx leucophrys
37270,Buffy-fronted Seedeater,Sporophila frontalis
28502,Bugun Liocichla,Liocichla bugunorum
6707,Bukidnon Woodcock,Scolopax bukidnonensis
22641,Bull-headed Shrike,Lanius bucephalus
7398,Buller's Albatross,Thalassarche bulleri
7565,Buller's Shearwater,Ardenna bulleri
35893,Bullock's Oriole,Icterus bullockii
7633,Bulwer's Petrel,Bulweria bulwerii
1376,Bulwer's Pheasant,Lophura bulweri
3325,Bumblebee Hummingbird,Selasphorus heloisa
3947,Burchell's Coucal,Centropus burchellii
6876,Burchell's Courser,Cursorius rufus
4418,Burchell's Sandgrouse,Pterocles burchelli
30052,Burchell's Starling,Lamprotornis australis
24161,Burmese Bushlark,Plocealauda microptera
4629,Burmese Collared-dove,Streptopelia xanthocycla
29952,Burmese Myna,Acridotheres burmannicus
29614,Burmese Nuthatch,Sitta neglecta
26617,Burmese Prinia,Prinia cooki
22613,Burmese Shrike,Lanius collurioides
27332,Burmese Yuhina,Yuhina humilis
37863,Burnished-buff Tanager,Stilpnia cayana
27035,Burnt-necked Eremomela,Eremomela usticollis
9104,Burrowing Owl,Athene cunicularia
13464,Burrowing Parrot,Cyanoliseus patagonus
9047,Buru Boobook,Ninox hantu
20639,Buru Cuckooshrike,Coracina fortis
10686,Buru Dwarf-kingfisher,Ceyx cajeli
21986,Buru Fantail,
32187,Buru Flowerpecker,Dicaeum erythrothorax
24813,Buru Golden Bulbul,Hypsipetes mysticalis
26165,Buru Grasshopper-warbler,Locustella disturbans
5191,Buru Green-pigeon,Treron aromaticus
19278,Buru Honeyeater,Lichmera deningeri
5610,Buru Mountain-pigeon,Gymnophaps mada
21645,Buru Oriole,Oriolus bouroensis
13657,Buru Racquet-tail,Prioniturus mada
30448,Buru Thrush,Geokichla dumasi
31158,Buru Warbling-flycatcher,Eumyias additus
27596,Buru White-eye,Zosterops buruensis
27062,Bush Blackcap,Sylvia nigricapillus
34107,Bush Pipit,Anthus caffer
6369,Bush Thick-knee,Burhinus grallarius
14215,Bushwren,Xenicus longipes
10186,Bushy-crested Hornbill,Anorrhinus galeritus
22746,Bushy-crested Jay,Cyanocorax melanocyaneus
2915,Butterfly Coquette,Lophornis verreauxii
32159,Buzzing Flowerpecker,Dicaeum hypoleucum
10884,Böhm's Bee-eater,Merops boehmi
31054,Böhm's Flycatcher,Myopornis boehmi
2477,Böhm's Spinetail,Neafrapus boehmi
16106,Caatinga Antwren,Radinopsyche sellowi
17845,Caatinga Black-tyrant,Knipolegus franciscanus
15504,Caatinga Cacholote,Pseudoseisura cristata
35015,Cabanis's Bunting,Emberiza cabanisi
24663,Cabanis's Greenbul,Phyllastrephus cabanisi
15573,Cabanis's Spinetail,Synallaxis cabanisi
7056,Cabot's Tern,
1085,Cabot's Tragopan,Tragopan caboti
24746,Cachar Bulbul,Iole cacharensis
263,Cackling Goose,Branta hutchinsii
15500,Cactus Canastero,Pseudasthenes cactorum
13502,Cactus Parakeet,Eupsittula cactorum
28905,Cactus Wren,Campylorhynchus brunneicapillus
13215,Caica Parrot,Pyrilia caica
16577,Cajamarca Antpitta,Grallaria cajamarcae
27355,Calabarzon Babbler,Sterrhoptilus affinis
24459,Calandra Lark,Melanocorypha calandra
5814,Calayan Rail,Gallirallus calayanensis
8110,California Condor,Gymnogyps californianus
29485,California Gnatcatcher,Polioptila californica
7181,California Gull,Larus californicus
852,California Quail,Callipepla californica
22815,California Scrub-jay,Aphelocoma californica
29757,California Thrasher,Toxostoma redivivum
35554,California Towhee,Melozone crissalis
3315,Calliope Hummingbird,Selasphorus calliope
31469,Cambodian Blue Robin,
