species_id,avilist_common_name,scientific_name
12040,Fire-bellied Woodpecker,Dendropicos pyrrhogaster
12072,Johnston's Woodpecker,Dendropicos johnstoni
12326,Amami Woodpecker,Dendrocopos owstoni
12384,Bronze-winged Woodpecker,Colaptes aeruginosus
12395,Black-crowned Woodpecker,Colaptes atriceps
12417,Golden-breasted Woodpecker,Colaptes melanolaimus
12424,Red-shafted Flicker,Colaptes cafer
12451,Northern Andean Flicker,Colaptes cinereicapillus
12458,Pampas Flicker,Colaptes campestroides
12511,Amazonian Black-breasted Woodpecker,Celeus occidentalis
12514,Atlantic Black-breasted Woodpecker,Celeus tinnunculus
12517,Black-bodied Woodpecker,Hylatomus schulzii
12518,Lineated Woodpecker,Hylatomus lineatus
12527,Dusky-winged Woodpecker,Hylatomus fuscipennis
12532,Pileated Woodpecker,Hylatomus pileatus
12563,Splendid Woodpecker,Campephilus splendens
12598,Chequer-throated Yellownape,Chrysophlegma humii
12674,Black-naped Woodpecker,Picus guerini
12684,Sumatran Woodpecker,Picus dedemi
12743,Olive-backed Woodpecker,Chloropicoides rafflesii
12810,Yellow-headed Caracara,Milvago chimachima
12813,Chimango Caracara,Phalcoboenus chimango
12816,Striated Caracara,Phalcoboenus australis
12817,Carunculated Caracara,Phalcoboenus carunculatus
12819,Mountain Caracara,Phalcoboenus megalopterus
12821,White-throated Caracara,Phalcoboenus albogularis
12920,Red-necked Falcon,Falco ruficollis
13243,White-capped Parrot,Pionus seniloides
13248,Blue-breasted Parrot,Pionus reichenowi
13257,Northern Festive Amazon,Amazona bodini
13326,Northern Mealy Amazon,Amazona guatemalae
13372,Black-legged Parrot,Pionites xanthomerius
13374,Yellow-tailed Parrot,Pionites xanthurus
13407,Azuero Parakeet,Pyrrhura eisenmanni
13421,Madeira Parakeet,Pyrrhura snethlageae
13427,Wavy-breasted Parakeet,Pyrrhura peruviana
13430,Garlepp's Parakeet,Pyrrhura parvifrons
13438,Choco Parakeet,Pyrrhura pacifica
13440,Upper Magdalena Parakeet,Pyrrhura chapmani
13477,Aztec Parakeet,Eupsittula astec
13546,Southern Red-shouldered Macaw,Diopsittaca cumanensis
13549,Blue-crowned Parakeet,Psittacara acuticaudatus
13558,Red-throated Parakeet,Psittacara rubritorquis
13589,Mascarene Parrot,Mascarinus mascarin
13722,Rennell Parrot,Geoffroyus hyacinthinus
13757,Grey-headed Parakeet,Himalayapsitta finschii
13759,Slaty-headed Parakeet,Himalayapsitta himalayana
13762,Blossom-headed Parakeet,Himalayapsitta roseata
13765,Plum-headed Parakeet,Himalayapsitta cyanocephala
13779,Long-tailed Parakeet,Belocercus longicaudus
13785,Malabar Parakeet,Nicopsitta columboides
13786,Emerald-collared Parakeet,Nicopsitta calthrapae
13787,Alexandrine Parakeet,Palaeornis eupatria
13793,Seychelles Parakeet,Palaeornis wardi
13795,Rose-ringed Parakeet,Alexandrinus krameri
13802,Echo Parakeet,Alexandrinus eques
13805,Rodrigues Parakeet,Alexandrinus exsul
13807,Mauritius Grey Parrot,Lophopsittacus bensoni
13816,Snow Mountain Tiger-parrot,Psittacella lorentzi
13902,Lord Howe Parakeet,Cyanoramphus subflavescens
13948,Pygmy Lorikeet,Charmosyna wilhelminae
13949,Red-fronted Lorikeet,Charmosyna rubronotata
13952,Red-flanked Lorikeet,Charmosyna placentis
13958,Blue-fronted Lorikeet,Charmosyna toxopei
13959,Fairy Lorikeet,Charmosyna pulchella
13974,Duchess Lorikeet,Charmosyna margarethae
13975,Meek's Lorikeet,Charmosyna meeki
13976,Red-chinned Lorikeet,Charmosyna rubrigularis
13979,Palm Lorikeet,Charmosyna palmarum
13980,Red-throated Lorikeet,Charmosyna amabilis
13981,New Caledonian Lorikeet,Charmosyna diadema
13982,Collared Lory,Phigys solitarius
14019,Purple-crowned Lorikeet,Glossopsitta porphyrocephala
14020,Little Lorikeet,Glossopsitta pusilla
14021,Dusky Lory,Pseudeos fuscata
14039,Goldie's Lorikeet,Psitteuteles goldiei
14040,Musk Lorikeet,Glossopsitta concinna
14053,Blue-streaked Lory,Eos reticulata
14054,Blue-eared Lory,Eos semilarvata
14055,Red Lory,Eos bornea
14061,Black-winged Lory,Eos cyanogenia
14062,Red-and-blue Lory,Eos histrio
14066,Violet-necked Lory,Eos squamata
14108,Large Fig-parrot,Psittaculirostris desmarestii
14113,Yellow-naped Fig-parrot,Psittaculirostris godmani
14115,Red-faced Fig-parrot,Psittaculirostris cervicalis
14117,Edwards's Fig-parrot,Psittaculirostris edwardsii
14119,Salvadori's Fig-parrot,Psittaculirostris salvadorii
14121,Blue-fronted Fig-parrot,Cyclopsitta gulielmitertii
14123,Black-fronted Fig-parrot,Cyclopsitta nigrifrons
14125,Creamy-breasted Fig-parrot,Cyclopsitta amabilis
14128,Dusky-cheeked Fig-parrot,Cyclopsitta melanogenia
14140,Coxen's Fig-parrot,Cyclopsitta coxeni
14261,Irrawaddy Broadbill,Cymbirhynchus affinis
14270,Banded Broadbill,Eurylaimus harterti
14347,Talaud Pitta,Erythropitta inspeculata
14353,Siau Pitta,Erythropitta palliceps
14355,Sangihe Pitta,Erythropitta caeruleitorques
14378,Tabar Pitta,Erythropitta splendida
14380,New Britain Pitta,Erythropitta gazellae
14428,Morotai Pitta,Pitta morotaiensis
14491,Ceara Leaftosser,Sclerurus cearensis
14540,Western Olivaceous Woodcreeper,Sittasomus griseus
14630,Eastern Barred Woodcreeper,Dendrocolaptes punctipectus
14730,Line-crowned Woodcreeper,Xiphorhynchus beauperthuysii
14735,Tschudi's Woodcreeper,Xiphorhynchus chunchotambo
14749,Lafresnaye's Woodcreeper,Xiphorhynchus guttatoides
14786,Southern Spotted Woodcreeper,Xiphorhynchus aequatorialis
14872,Southern Spot-crowned Woodcreeper,Lepidocolaptes neglectus
14918,Streaked Xenops,Xenops rutilus
14947,Streaked Tuftedcheek,Pseudocolaptes boissonneauii
15027,Black Cinclodes,Cinclodes maculirostris
15070,Small Pale-browed Treehunter,Cichlocolaptes holti
15076,Slaty-winged Foliage-gleaner,Philydor fuscipenne
15079,Rufous-rumped Foliage-gleaner,Philydor erythrocercum
15250,Paria Barbtail,Premnoplex pariae
15268,Des Murs's Wiretail,Sylviorthorhynchus desmurii
15276,Buffy Tit-spinetail,Leptasthenura berlepschi
15279,Pallid Tit-spinetail,Leptasthenura pallida
15332,White-tailed Canastero,Asthenes usheri
15676,Northern Wing-banded Antbird,Myrmornis stictoptera
15690,Eastern Russet Antshrike,Thamnistes aequatorialis
15719,Eastern Ornate Stipplethroat,Epinecrophylla hoffmannsi
15786,Silvery-flanked Antwren,Myrmotherula luctuosa
15860,Marsh Antwren,Formicivora paludicola
15889,Silvery-cheeked Antshrike,Sakesphorus cristatus
15919,Northern Rufous-winged Antwren,Herpsilochmus scapularis
16090,Northern Rufous-capped Antshrike,Thamnophilus subfasciatus
16095,Streak-fronted Antshrike,Sakesphorus pulchellus
16106,Caatinga Antwren,Herpsilochmus sellowi
16201,Tapajos Scale-backed Antbird,Willisornis nigrigula
16350,Short-tailed Antbird,Poliocrania maculifer
16601,Urrao Antpitta,Grallaria fenwickorum
16880,Rough-legged Tyrannulet,Phyllomyias burmeisteri
16882,White-fronted Tyrannulet,Phyllomyias zeledoni
16888,Black-capped Tyrannulet,Phyllomyias nigrocapillus
16892,Ashy-headed Tyrannulet,Phyllomyias cinereiceps
16893,Tawny-rumped Tyrannulet,Phyllomyias uropygialis
16953,Chilean Elaenia,Elaenia chilensis
17089,Mouse-colored Tyrannulet,Phaeomyias murina
17096,Tumbes Tyrannulet,Phaeomyias tumbezana
17174,Coopmans's Tyrannulet,Zimmerius minimus
17179,Loja Tyrannulet,Zimmerius flavidifrons
17197,Sao Paulo Tyrannulet,Phylloscartes paulista
17198,Serra do Mar Tyrannulet,Phylloscartes difficilis
17277,White-bellied Flycatcher,Leptopogon albidiventer
17283,Chapada Flycatcher,Guyramemua affinis
17339,Eastern Ornate Flycatcher,Myiotriccus phoenicurus
17585,Western White-throated Spadebill,Platyrinchus albogularis
